data$StartDate,data$Finished,data$DistributionChannel,data$accetto.non.accetto,sbj,a_1,a_2,a_3,a_logic1,a_logic2,a_logic3,a_logic4,a1_1,a1_2,a1_3,a1_logic1,a1_logic2,a1_logic3,a1_logic4,b_visuo1,b_visuo2,b_visuo3,b_logic1,b_logic2,b_logic3,b_logic4,b1_visuo1,b1_visuo3,b1_visuo2,b1_logic1,b1_logic2,b1_logic3,b1_logic4
19/12/2022 10:55,0,anonymous,1,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/12/2022 15:49,1,anonymous,1,164,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.inc,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
27/12/2022 14:02,1,anonymous,1,165,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,r.top,correct,correct,correct
27/12/2022 21:43,1,anonymous,1,166,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
20/12/2022 23:11,0,anonymous,1,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correct,NA,NA,correct,correct,NA,NA,correct,NA,correct,correct,NA
21/12/2022 02:37,0,anonymous,1,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/12/2022 06:55,0,anonymous,1,169,NA,NA,NA,NA,wp.copy,r.top,r.left,ic.flip,NA,wp.matrix,NA,NA,NA,NA,correct,r.diag,r.top,d.union,r.left,r.diag,d.union,ic.flip,correct,correct,r.top,wp.matrix,wp.matrix,wp.copy
21/12/2022 11:12,0,anonymous,1,170,ic.flip,wp.copy,correct,wp.copy,NA,wp.copy,wp.copy,correct,NA,wp.copy.ic.flip,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/12/2022 14:37,0,anonymous,1,171,NA,NA,NA,NA,NA,NA,NA,NA,wp.copy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/12/2022 16:00,1,anonymous,1,172,ic.flip,correct,wp.copy,r.diag,ic.inc,correct,ic.inc,ic.neg,correct,r.top,r.top,wp.copy,ic.flip,wp.copy,ic.flip,correct,correct,correct,ic.flip,correct,correct,ic.flip,correct,correct,wp.copy,correct,correct,correct
03/01/2023 14:45,1,anonymous,1,173,correct,correct,correct,correct,ic.inc,correct,correct,ic.neg,correct,correct,NA,wp.matrix,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,wp.copy,correct,ic.flip,correct
10/01/2023 17:43,1,anonymous,1,174,ic.flip,correct,correct,r.diag,ic.inc,correct,correct,ic.neg,correct,r.diag,r.top,ic.inc,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,wp.copy,correct,correct,correct
04/01/2023 15:34,0,anonymous,1,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
05/01/2023 18:44,0,anonymous,1,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/01/2023 17:26,0,anonymous,1,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,r.top,NA,NA,NA,ic.flip,NA,NA,NA,NA,NA,correct,correct,NA,NA
10/01/2023 23:06,0,anonymous,1,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/2023 04:34,0,anonymous,1,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/01/2023 19:58,1,anonymous,2,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
